content,label
瀑布附近现场没有宣传好，和预期差距不小。,0
园区里面，人太多了，全程都不算轻松。,0
城墙上排队太久，玩完只觉得累。,0
观景台这里，景色很赞，下次还会来。,1
不想再来，有点影响出游心情。,0
观景台这里服务冷淡，全程都不算轻松。,0
本来期待很高结果现场看下来落差比较明显,0
草原这片商业化太重少了味道,0
这个景区不只是景色好看氛围也很舒服适合慢慢待半天，慢慢逛特别舒服。,1
瀑布附近管理有些混乱旺季来的话整体感受会打折不少，下次不会专门再跑一趟。,0
园区里面整体规划合理玩下来很轻松,1
栈道上，空气很好，比照片还出片。,1
索道这边，卫生情况一般有些影响心情，有点影响出游心情。,0
栈道这段花了不少时间赶过来结果游玩内容比想象中单薄很多,0
园区里面值得来,1
花海这片拍照很好看，一家人都玩得开心。,1
观景台这里夜景真美,1
花海这片细节维护做得挺到位走完整圈还是愿意推荐给朋友,1
休息区和洗手间都比较方便整个过程很省心,1
古镇里来这一趟值了，心情都变好了。,1
观景台这里，花了不少时间赶过来结果游玩内容比想象中单薄很多，花的钱有些不值。,0
现场没有宣传好,0
城墙上花了不少时间赶过来结果游玩内容比想象中单薄很多，实际体验打了折扣。,0
园区里面门票感觉偏贵，和预期差距不小。,0
夜场部分，景色很赞，比照片还出片。,1
和朋友都很满意，心情都变好了。,1
瀑布附近走着太累了,0
湖边景色层次丰富越走越好看,1
这个景区，整体不错，心情都变好了。,1
排队太久，不太推荐高峰期来。,0
路程太长中途休息和补给都不方便。,0
栈道上拍照很好看,1
停车很麻烦,0
瀑布附近商业化太重少了味道,0
城墙上停车很麻烦,0
观景台这里工作人员挺热情问问题都会认真回答,1
路程太长中途休息和补给都不方便,0
瀑布附近缆车排队排了很久结果体验并没有多好,0
园区里面，服务冷淡，玩完只觉得累。,0
湿地公园本来担心踩雷结果现场比照片还好看很多,1
博物馆里路程太长中途休息和补给都不方便,0
博物馆里，环境一般，和预期差距不小。,0
观景台这里，人太多了,0
草原这片景色很赞,1
环境舒服，下次还会来。,1
整体规划合理玩下来很轻松,1
拍照很好看，心情都变好了。,1
花海这片，现场没有宣传好，玩完只觉得累。,0
沙滩这边比预期好，一家人都玩得开心。,1
城墙上本来期待很高结果现场看下来落差比较明显，实际体验打了折扣。,0
寺庙区域适合慢慢逛，心情都变好了。,1
不只是景色好看氛围也很舒服适合慢慢待半天，推荐晴天来。,1
园区里面商业化太重少了味道，下次不会专门再跑一趟。,0
山顶上，停车很麻烦，不太推荐高峰期来。,0
古镇里排队太久,0
缆车排队排了很久结果体验并没有多好,0
卫生情况一般有些影响心情,0
峡谷一路整体不错，心情都变好了。,1
散心很合适。,1
花海这片环境舒服,1
走着太累了，不太推荐高峰期来。,0
花海这片有点失望,0
这个景区工作人员挺热情问问题都会认真回答。,1
这个景区景色层次丰富越走越好看，比照片还出片。,1
湿地公园景色普通,0
设施有点旧很多地方没维护好,0
栈道上，景色很赞，全程都挺放松。,1
细节维护做得挺到位走完整圈还是愿意推荐给朋友，心情都变好了。,1
城墙上停车很麻烦，全程都不算轻松。,0
寺庙区域景色很赞,1
本来担心踩雷结果现场比照片还好看很多,1
草原这片高峰期真的很拥挤，花的钱有些不值。,0
湿地公园，环境一般，花的钱有些不值。,0
商业化太重少了味道,0
散心很合适，值得再来。,1
湿地公园卫生情况一般有些影响心情，全程都不算轻松。,0
草原这片工作人员挺热情问问题都会认真回答,1
寺庙区域景色层次丰富越走越好看,1
博物馆里空气很好，心情都变好了。,1
观景台这里体验很好,1
观景台这里，一路风景都在线几乎没有失望，慢慢逛特别舒服。,1
门票感觉偏贵，实际体验打了折扣。,0
指示不清楚，不太推荐高峰期来。,0
索道这段休息区和洗手间都比较方便整个过程很省心,1
城墙上景色层次丰富越走越好看,1
和朋友都很满意，下次还会来。,1
有点失望，有点影响出游心情。,0
管理有些混乱旺季来的话整体感受会打折不少，不太推荐高峰期来。,0
管理有些混乱旺季来的话整体感受会打折不少，玩完只觉得累。,0
寺庙区域人太多了,0
城墙上，景色普通，全程都不算轻松。,0
古镇里细节维护做得挺到位走完整圈还是愿意推荐给朋友，全程都挺放松。,1
栈道上值得来，推荐晴天来。,1
沙滩这边设施有点旧很多地方没维护好,0
草原这片空气很好，心情都变好了。,1
来这一趟值了,1
山顶上卫生情况一般有些影响心情,0
山顶上，卫生情况一般有些影响心情，有点影响出游心情。,0
这个景区风景不错，推荐晴天来。,1
一路风景都在线几乎没有失望，值得再来。,1
城墙上，环境舒服，一家人都玩得开心。,1
本来担心踩雷结果现场比照片还好看很多。,1
景色层次丰富越走越好看，下次还会来。,1
花海这片体验很差,0
寺庙区域虽然人不少但秩序还可以整体体验依然不错，推荐晴天来。,1
园区里面，卫生情况一般有些影响心情，花的钱有些不值。,0
整体规划合理玩下来很轻松，慢慢逛特别舒服。,1
沙滩这边，本来期待很高结果现场看下来落差比较明显，玩完只觉得累。,0
指示不清楚，下次不会专门再跑一趟。,0
体验很差，全程都不算轻松。,0
游船项目整体不错,1
栈道这段，有点失望，下次不会专门再跑一趟。,0
峡谷一路高峰期真的很拥挤,0
湿地公园排队太久，全程都不算轻松。,0
缆车排队排了很久结果体验并没有多好，下次不会专门再跑一趟。,0
游船项目环境舒服，慢慢逛特别舒服。,1
观景台这里整体不错,1
观景台这里，整体不错，一家人都玩得开心。,1
景色层次丰富越走越好看,1
城墙上，适合慢慢逛，心情都变好了。,1
带孩子来也很合适，推荐晴天来。,1
山顶上，挺好玩的,1
寺庙区域，比预期好。,1
城墙上指示不清楚,0
峡谷一路景色很赞，一家人都玩得开心。,1
湖边，环境一般，和预期差距不小。,0
夜场部分，走着太累了，有点影响出游心情。,0
峡谷一路比预期好。,1
索道这边高峰期真的很拥挤，和预期差距不小。,0
门票感觉偏贵，有点影响出游心情。,0
