content,label
离地铁站有点远，房门隔音差，地毯脏,0
酒店服务真的很好，房间也很整洁。从阳台可以看到海景，海上有好多停着的船只，蛮有感觉的。自助早餐很不错，品种还是蛮丰富的。,1
总体感觉性价比较高，很适合拖家带口出游居住，房间比较干净，服务员都很热情，游泳池不错，小孩子玩得很开心。只是我们住的套房有个卫生间的门不能锁，需要派人在门口站岗，有点搞笑。,1
第一次去郑州出差就住的这家，总体感觉还是不错的。房间的一次性用品相对给的是这些酒店中质量最好的。卫生意设计的很有意思，空间利用非常合理。坐便的私密性处理的很好。,1
"豪华双人间的床很大,一张单人床已经有我在香港住的双人大床那么大,一些细节也挺有意思的,象放在床头的小信封会有一颗糖果和会告诉你明天的天气.就是毛巾有点旧.浴室里也没有可以晾衣服的线.补充点评 2007年2月28日 ： 外面有点旧和脏,我们刚到的时候还犹豫着要不要换一家呢,后来看到里面还是不错的,是时候该装修一下外面了",1
地毯有异味,0
"5月21日入住,大床房空间很大,和价格相符.如再便宜点就更有竞争力.宾馆反馈 2008年6月27日 ： 感谢您的点评及对我们酒店的赞赏,从6.28日起我们每个周末都有优惠的房价,欢迎您下次入住.",1
房间隔音效果超级差，晚上竟然能听到外面在搓麻将和讲话声！半夜被吵醒好几次，我晕死！！,0
酒店是旧房改造，怪味根本无法忍受，若不是酒店不肯退当天的钱，我连这一晚也决不会呆。酒店没有提供饮食，旁边的永和超贵，没有什么好吃的。不明白其他朋友怎么给这么高分？,0
今年年初新开的酒店，房间设施很新，感觉十分不错，性价比很高，在宝山区个人认为比宝山宾馆好很多。到宝钢办业务的人员最佳选择。,1
"单人间的价格物超所值.早餐不错.服务也好,很人性化.呵呵,第一次碰到卫生间马桶里撒花瓣的宾馆.不过酒店的洗浴中心,美容美发都在装修中不能使用.预定时没有提到.",1
"说了返现也不能返，白白浪费112, 花了将近四百就一个特别潮的屋子，马桶还不干净，早知道就定一个远好于这的酒店了. 感觉很亏，不值得，不推荐.",0
"房间小的可怜,写字台前如果放个椅子那就和床是零距离了.服务很差,凌晨3点多前台服务员同客人吵架约一个小时,整个楼道房客都无法休息,也许对方是无理取闹,但是事后酒店并没有向客人说明情况并道歉,把所有责任都推给对方,总之长沙之行很失望,小地方毕竟是小地方,但是反过来讲,湖南台办的还是不错的.",0
酒店位置比较偏远，但是在机场的2号航站楼27号出口有酒店接送车辆到酒店，还算可以。 酒店的设施环境还可以接受，但是房间的卫生比较一般，可能是比较旧的缘故。 希望可以改善。,0
每次到常州都是住这个酒店，各方面条件都不错！以后还会一直住在这里。要说缺点那么就是房间内的电视遥控器不够灵敏，面盆的水龙头设计不合理了。,1
熟悉的酒店都住满了，迫不得已又住了一次。发现更垃圾了。总之，如果不是迫不得已，千万不要住次酒店。枕头发黑，床单发黄，房间超级小，卫生间异味和公共厕所差不多，房间异味更不用说了。,0
鹭江宾馆的位置非常好，交通轮渡可谓四通八达。宾馆旁边是步行街，对面是鼓浪屿，如果住海景房的话，鼓浪屿全景尽收眼底。宾馆入住和退房都比较快的，房间不错，早餐也可以的。下次去厦门还会住的。,1
价格便宜的好像是1号楼，太差，空调无暖气，无宽带，千万不要住。可以推荐汽车站对面交通局开的宾馆，有宽带。也方便。龙岩象个县级市，不好打的士。,0
前几日山西旅游到大同，通过电话定了这个酒店。总体感觉非常不爽。房间刚刚够上三星标准，偏偏报了一个四星；入住后感觉就是一个洗浴中心，房间不隔音也比较乱。第二天结帐又是内部结算又是房间内的物品损坏，上去一看又说查错了，真的不知道搞什么。下回请携程推荐时注意一下酒店品味。不要砸招牌。,0
前台人员态度冷淡。完全无工作热情！,0
