content,label
总体不错，不过备注有让加辣，结果没有加…,1
"菜品温度差,菜品味道佳",0
打电话让快点，还是十一点送到的，，，，,0
送餐员也太厉害了，就问了句到的是不是六层怎么都不回答，之后还嚷嚷，拿了餐还在我公司门口嚷嚷。起码的尊重都没有还在给顾客这样的服务真是砸招牌,0
一直吃他家湘菜～味道正宗。,1
"都歪七扭八的,还都软的变形了,只能说很差,看来大家的评价是对的",0
味道真心不错啊，像家里做的感觉～,1
饼还不错。就是稍慢了点,1
"不知道黄家是没有薄脆的。。不爱吃，,肉松的不错",1
好吃，准时,1
送餐小哥很给力，大赞。,1
自己系统问题误了时间，还义正言辞，一点责任没有……呵呵,0
菜不怎么好吃，就是包装盒子看着挺好看,0
配送时间超长，眼看着送货员在望京转悠了几圈，最后才送来，还没送到地方就把单子结算了，显示配送成功了，豆腐脑全撒了，满袋子都是汤，煎饼已经冰凉了，一口都没吃都扔了。用了这么久百度外卖第一次差评，实在是太不满意了。,0
可以的，百度外卖这段时间有力度啊,0
送餐速度能再慢一点吗？让我们等三个小时吧,0
十点叫的，两点多才到，打了好几个电话，都没下文，也不回电，,0
送餐好慢，菜的味道还算不错,0
绝了我竟然吃出个小别针，靠，幸亏口是别针的，要命是咋的，送餐员态度很好，饭菜质量把把关吧,0
点了三个菜，师傅拿来六盒子，量很大的。千叶豆腐和包菜咸了点，鱼香肉丝咸淡刚刚好，口味很好，干净卫生，没想到这么好，还送了几颗山楂，希望品质会一直保持，还会再来滴。,1
