content,label
很不错，买来就用上了。非常棒啊…会一直支持京东,1
买到后，装完系统后测试时发现，所谓的显卡切换独立钮是坏的，根本切换不了。经华硕检验，说该钮断了，不在国家三包退换之内，让我找京东协商。呵呵，京东也一直遮遮掩掩，推三挡四，后来想想算了，直接送修了换底壳,0
就是那样，我一直用苹果的系统，所以现在还不习惯。,1
味道不错，很新鲜。基本上没有坏的点，好评！下次还来买，比超市便宜！,1
还有1.各输入法联想词候选太少不方便，比如“上班”要打shang之后再打ban。这是我最不满意的。2.收集操作反应速度明显太慢。感觉用一段时间后程序会出错？反正感觉不是很经用。3.短信发出后没有回执信息？还是我没找到？我买了两周了有3次莫名其妙的自动关机。,0
质量不错， 穿上很舒服， 大小合适，,1
这些洗发水够用好久啦！味道一如既往的好闻，还送了那么多赠品，谢谢店家，包装很完美没有破损赞,1
"1.McAFee和Office07只有1-2月的试用期,马上要买,麻烦; 2.电池不经用,只能用2小时不到,还是在节能模式下",0
"乱七八糟,错漏百出,没想到当当还卖这样的书!",0
看了一点，没有太多继续看下去的欲望，内容太跳跃~我同学喜欢，但不适合我,0
就是地摊货。没我在某运动点花30来的好。做工粗糙，缝合粗糙，成本价也就10块左右，越说越来气，还让我再重打一遍，生两遍气，呵呵了。等我平复下心情，太让人失望了，简直透顶，有那么多营销手段，不如多提高提高产品质量，何必用那些虚假宣传提高销量！扬汤止沸不如釜底抽薪。挣钱挣疯了吧，还想做大做强？做梦！好好反省吧！,0
很好，相当不错！很好，相当不错！很好，相当不错！很好，相当不错！,1
质量不好，很不满意,0
不觉得有啥好，有很多东西属于故意编造的东东。如黄瓜车、玉米车。哪里有这些东东？,0
第一次在京东买苹果，真的这里的苹果好小，好小，真的，传说的烟台苹果就这样,1
己经第二次购买了，花花公子用好料做裤子，穿着很舒服。有弹性，真是好货的大牌子，好，好，下次还来买。,1
同样的牌子，同样的类型，为什么这次买的好差，还一下买了两瓶，不知道能不能用来洗衣服，不然只能丢了,0
家里的电子产品都在京东买的，京东自营，质量没的说。,1
拍的时候显示第二天到货，结果我足足等了4天才收到，什么意思？,0
苹果好小，还没吃，看上去口感不错，吃了再来评论！,1
